Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1140,51:36.6,TC0001_PlannerA 1-10,/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.822921901842721,584,Success,0
1141,51:36.5,TC0003_PlannerC 3-12,/plan,688,Success,21959
1142,51:36.5,TC0003_PlannerC 3-6,/plan,693,Success,21959
1143,51:36.7,TC0002_PlannerB 2-4,/plan,448,Success,265
1144,51:36.7,TC0001_PlannerA 1-18,/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.822921901842721,473,Success,0
1145,51:36.5,TC0001_PlannerA 1-7,/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.822921901842721,679,Success,0
1146,51:36.7,TC0003_PlannerC 3-7,/plan,503,Success,22771
1147,51:37.1,TC0003_PlannerC 3-15,/plan,249,Success,22771
1148,51:36.3,TC0003_PlannerC 3-9,/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:event::IBehaviorListener:0:-1&random=0.9994412394033615,1150,Success,69
1149,51:30.9,TC0003_PlannerC 3-10,/plan,6516,Success,13920
1150,51:37.2,TC0001_PlannerA 1-18,/plan,706,Success,13920
1151,51:30.9,TC0001_PlannerA 1-17,/plan,7042,Success,13340
1152,51:23.7,TC0002_PlannerB 2-5,/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:organization:name::IBehaviorListener:0:-1&random=0.9689886339409747,14286,Success,55761
1153,51:31.0,TC0003_PlannerC 3-20,/plan,7588,Success,13920
1154,51:31.0,TC0001_PlannerA 1-13,/plan?wicket:interface=:1:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.6748635462921264,7548,Success,30751
1155,51:30.9,TC0003_PlannerC 3-2,/plan,7713,Success,13920
1156,51:21.0,TC0002_PlannerB 2-8,/plan,17732,Success,70623
1157,51:21.7,TC0001_PlannerA 1-5,/plan,17118,Success,42356
1158,51:36.8,TC0002_PlannerB 2-9,/plan,2042,Success,9952
1159,51:37.2,TC0003_PlannerC 3-12,/plan,1670,Success,13340
1160,51:31.0,TC0001_PlannerA 1-1,/plan?wicket:interface=:1:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.6748635462921264,7819,Success,30750
